drill_id,name,urgency,duration_min,fatigue_cost,install_by_day
2105,Coverage Shells 105,5,12,3,4
2106,Two-Minute Drill 106,3,18,2,5
2107,Special Teams Lane 107,1,12,9,4
2108,DB Footwork 108,2,15,6,6
2109,Run Fits 109,1,20,8,2
2110,Special Teams Lane 110,5,18,5,2
2111,Screen Defense 111,1,20,2,2
2112,Ball Security 112,3,8,10,3
2113,Coverage Shells 113,5,12,4,4
2114,OL Zone Steps 114,1,20,9,6
2115,Screen Defense 115,3,10,3,2
2116,Special Teams Lane 116,3,15,6,5
2117,Goal Line 117,4,8,6,6
2118,Goal Line 118,5,10,8,2
2119,OL Zone Steps 119,3,15,1,4
2120,RPO Reads 120,2,8,10,1
2121,Goal Line 121,5,8,7,7
2122,Coverage Shells 122,3,18,10,5
2123,DB Footwork 123,2,15,8,4
2124,Special Teams Lane 124,2,10,5,1
2125,Tackling Form 125,3,8,10,1
2126,Coverage Shells 126,1,15,4,5
2127,RPO Reads 127,2,8,8,1
2128,Pass Rush Moves 128,2,20,3,5
2129,Coverage Shells 129,3,10,7,5
2130,OL Zone Steps 130,3,10,2,3
2131,Coverage Shells 131,3,15,3,4
2132,Two-Minute Drill 132,3,12,2,7
2133,Coverage Shells 133,3,12,6,3
2134,DB Footwork 134,4,20,9,2
2135,Blitz Pickup 135,2,12,3,2
2136,OL Zone Steps 136,4,15,3,2
2137,RPO Reads 137,1,20,7,4
2138,Special Teams Lane 138,1,8,5,7
2139,Run Fits 139,1,8,8,7
2140,Run Fits 140,4,8,10,7
2141,RPO Reads 141,5,18,6,5
2142,Two-Minute Drill 142,4,8,3,2
2143,Tackling Form 143,5,10,3,6
2144,Goal Line 144,2,10,3,4
2145,Coverage Shells 145,3,15,10,3
2146,Tackling Form 146,3,15,10,7
2147,Run Fits 147,2,10,6,5
2148,RPO Reads 148,1,10,7,4
2149,Pass Rush Moves 149,4,8,9,1
2150,Screen Defense 150,1,18,4,1
2151,Ball Security 151,3,10,9,5
2152,Coverage Shells 152,2,10,6,4
2153,OL Zone Steps 153,2,18,9,4
2154,Red Zone Passing 154,5,20,10,6
2155,Two-Minute Drill 155,2,12,6,4
2156,RPO Reads 156,4,20,4,3
2157,Two-Minute Drill 157,1,20,4,1
2158,Pass Rush Moves 158,1,15,2,3
2159,Run Fits 159,1,20,8,1
2160,Special Teams Lane 160,2,12,5,6
2161,Special Teams Lane 161,3,12,4,2
2162,Two-Minute Drill 162,5,15,2,4
2163,Special Teams Lane 163,3,15,3,5
2164,Two-Minute Drill 164,4,18,4,1
2165,Coverage Shells 165,5,10,6,6
2166,Screen Defense 166,3,12,3,1
2167,Red Zone Passing 167,3,15,3,4
2168,Run Fits 168,3,20,6,6
2169,Blitz Pickup 169,5,12,1,4
2170,Special Teams Lane 170,5,8,10,7
2171,Ball Security 171,4,20,9,3
2172,RPO Reads 172,4,10,10,5
2173,OL Zone Steps 173,4,20,3,2
2174,Run Fits 174,2,18,6,6
2175,DB Footwork 175,2,8,2,5
2176,Red Zone Passing 176,5,10,7,6
2177,OL Zone Steps 177,1,18,9,1
2178,Special Teams Lane 178,2,12,6,2
2179,Coverage Shells 179,3,12,4,2
2180,Red Zone Passing 180,4,10,3,3
2181,RPO Reads 181,1,8,4,5
2182,Two-Minute Drill 182,2,10,7,6
2183,DB Footwork 183,3,15,3,3
2184,OL Zone Steps 184,4,8,8,5
2185,Blitz Pickup 185,1,20,2,7
2186,Goal Line 186,5,15,6,3
2187,Run Fits 187,5,18,1,6
2188,OL Zone Steps 188,2,10,9,2
2189,OL Zone Steps 189,1,12,6,6
2190,Goal Line 190,3,20,7,3
2191,DB Footwork 191,1,8,6,6
2192,Run Fits 192,4,15,1,5
2193,Blitz Pickup 193,1,15,8,7
2194,RPO Reads 194,2,20,4,4
2195,Run Fits 195,2,10,9,6
2196,OL Zone Steps 196,3,15,5,3
2197,Screen Defense 197,3,20,8,3
2198,Screen Defense 198,2,15,1,2
2199,Pass Rush Moves 199,1,18,10,2
2200,OL Zone Steps 200,1,20,4,3
2201,RPO Reads 201,1,8,3,2
2202,RPO Reads 202,3,15,1,6
2203,Screen Defense 203,4,18,6,7
2204,Screen Defense 204,4,8,4,4
2205,Goal Line 205,1,10,1,6
2206,Special Teams Lane 206,2,15,3,5
2207,Ball Security 207,1,20,1,3
2208,Red Zone Passing 208,4,10,4,3
2209,Ball Security 209,3,10,6,5
2210,Two-Minute Drill 210,4,15,10,4
2211,Special Teams Lane 211,5,15,5,1
2212,Ball Security 212,2,18,7,2
2213,Ball Security 213,2,15,9,7
2214,Run Fits 214,4,10,4,5
2215,DB Footwork 215,4,12,5,2
2216,OL Zone Steps 216,1,15,6,1
2217,Screen Defense 217,2,15,3,6
2218,Pass Rush Moves 218,3,8,6,6
2219,Ball Security 219,2,8,1,5
2220,Goal Line 220,4,10,5,6
2221,Goal Line 221,1,15,1,5
2222,Blitz Pickup 222,3,20,8,1
2223,Goal Line 223,5,12,3,5
2224,DB Footwork 224,2,15,4,1
2225,Ball Security 225,2,8,1,1
2226,Red Zone Passing 226,4,20,10,3
2227,RPO Reads 227,5,8,1,5
2228,Red Zone Passing 228,3,10,8,1
2229,Run Fits 229,3,15,7,6
2230,Two-Minute Drill 230,3,15,6,5
2231,DB Footwork 231,4,15,5,7
2232,Two-Minute Drill 232,1,20,3,1
2233,Special Teams Lane 233,4,10,10,7
2234,Ball Security 234,1,8,8,4
2235,Run Fits 235,3,8,8,5
2236,DB Footwork 236,3,20,6,4
2237,Red Zone Passing 237,2,15,3,7
2238,OL Zone Steps 238,1,20,9,2
2239,Coverage Shells 239,4,15,1,4
2240,OL Zone Steps 240,1,8,7,4
2241,DB Footwork 241,4,15,3,4
2242,Ball Security 242,4,20,6,2
2243,Coverage Shells 243,5,12,9,5
2244,Special Teams Lane 244,5,15,5,2
2245,Run Fits 245,4,12,8,1
2246,Special Teams Lane 246,4,20,7,2
2247,Goal Line 247,1,12,7,4
2248,Coverage Shells 248,1,8,6,7
2249,Run Fits 249,2,8,7,1
2250,Tackling Form 250,5,10,4,4
2251,Special Teams Lane 251,2,10,5,5
2252,Run Fits 252,1,20,8,2
2253,OL Zone Steps 253,1,15,4,4
2254,DB Footwork 254,1,18,6,3
2255,Red Zone Passing 255,5,18,1,4
2256,Tackling Form 256,1,15,3,1
2257,Coverage Shells 257,5,12,8,6
2258,Two-Minute Drill 258,1,8,6,2
2259,Pass Rush Moves 259,1,10,8,4
2260,Goal Line 260,2,10,10,4
2261,DB Footwork 261,5,10,10,2
2262,RPO Reads 262,1,12,2,2
2263,Red Zone Passing 263,2,12,8,3
2264,Red Zone Passing 264,3,10,7,1
2265,Blitz Pickup 265,5,20,6,4
2266,Goal Line 266,2,10,4,6
2267,DB Footwork 267,2,12,3,6
2268,Blitz Pickup 268,5,15,1,1
2269,Two-Minute Drill 269,3,15,3,6
2270,Special Teams Lane 270,3,8,9,6
2271,Coverage Shells 271,2,20,4,4
2272,Red Zone Passing 272,4,10,6,2
2273,DB Footwork 273,1,20,6,2
2274,Special Teams Lane 274,4,8,9,1
2275,Red Zone Passing 275,5,12,8,5
2276,OL Zone Steps 276,4,10,5,2
2277,Blitz Pickup 277,5,20,9,2
2278,DB Footwork 278,5,8,10,6
2279,Red Zone Passing 279,3,18,4,5
2280,Coverage Shells 280,2,18,2,4
2281,Screen Defense 281,4,8,7,1
2282,Goal Line 282,3,20,5,2
2283,OL Zone Steps 283,2,15,4,5
2284,OL Zone Steps 284,1,8,8,5
2285,DB Footwork 285,2,8,7,2
2286,Ball Security 286,4,12,3,7
2287,Tackling Form 287,3,15,1,2
2288,Screen Defense 288,2,20,2,3
2289,Ball Security 289,1,15,6,6
2290,Screen Defense 290,4,18,2,6
2291,Ball Security 291,1,18,2,1
2292,Red Zone Passing 292,3,20,8,4
2293,RPO Reads 293,3,12,5,3
2294,Run Fits 294,4,10,4,2
2295,Ball Security 295,4,10,6,7
2296,Run Fits 296,5,12,1,2
2297,Ball Security 297,1,12,8,1
2298,OL Zone Steps 298,4,20,7,2
2299,Red Zone Passing 299,1,20,6,5
2300,Blitz Pickup 300,5,10,4,6
2301,Tackling Form 301,4,8,9,5
2302,Goal Line 302,1,15,10,2
2303,Red Zone Passing 303,5,10,1,4
2304,Special Teams Lane 304,5,20,5,7
2305,Tackling Form 305,3,12,5,5
2306,Coverage Shells 306,1,18,1,4
2307,Goal Line 307,5,8,3,1
2308,Run Fits 308,2,20,1,5
2309,Blitz Pickup 309,4,15,8,1
2310,Special Teams Lane 310,3,20,5,2
2311,Blitz Pickup 311,5,12,3,3
2312,OL Zone Steps 312,5,18,10,5
2313,Ball Security 313,3,8,8,4
2314,Screen Defense 314,3,12,7,6
2315,Run Fits 315,1,15,4,3
2316,RPO Reads 316,5,12,3,7
2317,Screen Defense 317,1,20,9,5
2318,Red Zone Passing 318,1,8,9,2
2319,OL Zone Steps 319,2,10,10,3
2320,Two-Minute Drill 320,5,12,5,4
2321,Screen Defense 321,4,18,9,1
2322,Screen Defense 322,4,18,3,4
2323,OL Zone Steps 323,1,8,9,2
2324,OL Zone Steps 324,3,8,3,1
2325,Run Fits 325,4,10,10,2
2326,Ball Security 326,5,10,2,6
2327,Two-Minute Drill 327,4,10,10,5
2328,OL Zone Steps 328,4,10,10,2
2329,Coverage Shells 329,4,15,8,7
2330,Tackling Form 330,2,12,9,2
2331,Two-Minute Drill 331,4,15,6,3
2332,Ball Security 332,2,18,8,1
2333,Blitz Pickup 333,1,10,2,7
2334,Coverage Shells 334,3,15,10,6
2335,Coverage Shells 335,1,8,1,6
2336,OL Zone Steps 336,1,10,6,4
2337,Two-Minute Drill 337,2,10,9,1
2338,Run Fits 338,1,12,8,5
2339,Two-Minute Drill 339,2,18,8,5
2340,Screen Defense 340,1,8,10,2
2341,Pass Rush Moves 341,4,10,4,1
2342,Tackling Form 342,5,18,4,4
2343,Goal Line 343,3,8,6,4
2344,Screen Defense 344,1,20,7,1
2345,Goal Line 345,5,18,10,6
2346,Red Zone Passing 346,5,15,10,6
2347,Red Zone Passing 347,4,12,5,4
2348,RPO Reads 348,3,8,2,2
2349,Red Zone Passing 349,3,20,7,6
2350,Pass Rush Moves 350,2,10,9,7
2351,OL Zone Steps 351,4,10,2,2
2352,Pass Rush Moves 352,5,18,9,2
2353,Coverage Shells 353,2,10,4,6
2354,OL Zone Steps 354,1,12,4,4
2355,Coverage Shells 355,3,18,1,1
2356,Coverage Shells 356,5,15,9,3
2357,Blitz Pickup 357,4,10,4,6
2358,RPO Reads 358,2,8,10,7
2359,RPO Reads 359,2,15,5,2
2360,Ball Security 360,5,18,8,1
2361,Tackling Form 361,2,15,5,6
2362,DB Footwork 362,2,15,1,7
2363,Blitz Pickup 363,1,8,9,3
2364,OL Zone Steps 364,2,20,8,5
2365,Special Teams Lane 365,2,20,9,1
2366,OL Zone Steps 366,5,10,6,5
2367,DB Footwork 367,1,12,2,7
2368,Two-Minute Drill 368,3,12,5,3
2369,Coverage Shells 369,1,15,9,7
2370,Run Fits 370,4,15,2,2
2371,Two-Minute Drill 371,5,18,4,6
2372,Coverage Shells 372,4,12,7,1
2373,OL Zone Steps 373,3,20,7,5
2374,Red Zone Passing 374,5,15,9,5
2375,Ball Security 375,5,12,2,4
2376,Ball Security 376,1,20,4,7
2377,Red Zone Passing 377,4,18,2,3
2378,Red Zone Passing 378,1,18,3,4
2379,DB Footwork 379,5,8,3,4
2380,Special Teams Lane 380,3,20,3,4
2381,Red Zone Passing 381,5,10,9,5
2382,Ball Security 382,1,8,9,4
2383,Goal Line 383,5,15,8,2
2384,Run Fits 384,1,20,8,3
2385,Run Fits 385,1,18,5,4
2386,Pass Rush Moves 386,4,20,6,5
2387,Ball Security 387,5,20,7,2
2388,Red Zone Passing 388,2,20,9,4
2389,Pass Rush Moves 389,4,10,5,2
2390,OL Zone Steps 390,3,20,2,1
2391,DB Footwork 391,3,18,6,6
2392,Special Teams Lane 392,3,8,5,2
2393,Coverage Shells 393,5,12,8,2
2394,Coverage Shells 394,1,12,3,4
2395,DB Footwork 395,5,8,6,5
2396,Special Teams Lane 396,2,8,6,5
2397,Red Zone Passing 397,2,20,2,4
2398,Ball Security 398,5,18,2,4
2399,Coverage Shells 399,5,10,4,2
2400,Ball Security 400,3,18,5,3
2401,OL Zone Steps 401,2,8,6,7
2402,Run Fits 402,4,15,10,6
2403,DB Footwork 403,5,20,3,5
2404,Run Fits 404,3,10,5,1
2405,Two-Minute Drill 405,4,12,10,5
2406,Pass Rush Moves 406,1,15,1,3
2407,OL Zone Steps 407,2,10,1,3
2408,OL Zone Steps 408,3,10,4,3
2409,OL Zone Steps 409,4,8,8,2
2410,Goal Line 410,1,20,3,2
2411,Coverage Shells 411,1,18,10,1
2412,Coverage Shells 412,5,20,4,7
2413,Ball Security 413,5,12,5,5
2414,Tackling Form 414,2,8,8,5
2415,Pass Rush Moves 415,4,15,6,4
2416,Screen Defense 416,4,12,10,2
2417,Coverage Shells 417,3,12,9,3
2418,Special Teams Lane 418,2,18,2,7
2419,OL Zone Steps 419,1,15,2,4
2420,Pass Rush Moves 420,2,12,2,6
2421,Goal Line 421,4,15,9,4
2422,Two-Minute Drill 422,1,12,10,4
2423,Run Fits 423,1,20,4,3
2424,Special Teams Lane 424,3,12,9,1
2425,RPO Reads 425,4,18,4,3
2426,Screen Defense 426,2,10,7,4
2427,Special Teams Lane 427,1,18,5,4
2428,Goal Line 428,1,18,7,7
2429,Ball Security 429,4,15,6,2
2430,Screen Defense 430,4,18,7,7
2431,Special Teams Lane 431,3,8,6,3
2432,Ball Security 432,5,8,3,1
2433,Run Fits 433,5,18,6,5
2434,OL Zone Steps 434,3,15,5,6
2435,Blitz Pickup 435,2,10,8,7
2436,Special Teams Lane 436,5,20,4,4
2437,Blitz Pickup 437,3,8,6,5
2438,Screen Defense 438,1,12,1,5
2439,DB Footwork 439,5,20,8,7
2440,Pass Rush Moves 440,2,20,5,4
2441,Coverage Shells 441,3,18,8,7
2442,Pass Rush Moves 442,2,18,1,3
2443,Coverage Shells 443,3,10,7,4
2444,Ball Security 444,2,8,8,7
2445,Red Zone Passing 445,4,12,2,2
2446,Coverage Shells 446,3,10,6,3
2447,Coverage Shells 447,3,12,9,2
2448,RPO Reads 448,1,15,5,1
2449,Goal Line 449,5,8,4,3
2450,Coverage Shells 450,1,10,2,7
2451,Pass Rush Moves 451,1,12,1,4
2452,Tackling Form 452,1,12,3,2
2453,Goal Line 453,5,15,4,4
2454,Red Zone Passing 454,2,10,7,1
2455,RPO Reads 455,5,10,1,3
2456,Blitz Pickup 456,4,10,6,7
2457,Goal Line 457,3,8,1,5
2458,DB Footwork 458,5,8,5,6
2459,OL Zone Steps 459,4,8,7,1
2460,Screen Defense 460,4,10,7,7
2461,Coverage Shells 461,1,20,7,4
2462,DB Footwork 462,2,12,2,4
2463,Goal Line 463,3,10,10,1
2464,Blitz Pickup 464,1,20,8,7
2465,Coverage Shells 465,4,12,6,6
2466,Coverage Shells 466,5,10,5,4
2467,Red Zone Passing 467,2,20,1,5
2468,Screen Defense 468,1,10,7,7
2469,Tackling Form 469,5,10,4,4
2470,Two-Minute Drill 470,1,20,6,4
2471,Blitz Pickup 471,3,10,2,2
2472,Red Zone Passing 472,4,12,8,4
2473,RPO Reads 473,2,20,10,1
2474,DB Footwork 474,5,15,9,4
2475,DB Footwork 475,4,10,10,5
2476,Run Fits 476,2,10,9,7
2477,Ball Security 477,3,8,9,7
2478,OL Zone Steps 478,3,12,1,5
2479,Two-Minute Drill 479,2,12,1,7
2480,Goal Line 480,4,18,7,7
2481,Red Zone Passing 481,4,15,7,6
2482,Tackling Form 482,1,20,1,1
2483,RPO Reads 483,3,18,3,6
2484,Coverage Shells 484,3,10,1,5
2485,Goal Line 485,3,15,1,7
2486,Red Zone Passing 486,2,18,10,3
2487,Coverage Shells 487,1,18,2,2
2488,Special Teams Lane 488,5,15,6,1
2489,Tackling Form 489,4,18,9,5
2490,DB Footwork 490,5,8,9,3
2491,Tackling Form 491,2,12,8,7
2492,Coverage Shells 492,3,20,9,1
2493,Run Fits 493,1,10,6,7
2494,Run Fits 494,5,10,5,6
2495,Pass Rush Moves 495,3,8,3,1
2496,Ball Security 496,5,10,2,4
2497,Red Zone Passing 497,3,18,2,4
2498,Special Teams Lane 498,1,18,7,3
2499,Two-Minute Drill 499,3,8,2,6
2500,Screen Defense 500,1,15,7,4
2501,Red Zone Passing 501,3,10,10,4
2502,DB Footwork 502,4,15,3,5
2503,DB Footwork 503,4,10,8,6
2504,DB Footwork 504,2,18,1,6
2505,RPO Reads 505,1,10,2,1
2506,Tackling Form 506,2,15,10,7
2507,Tackling Form 507,1,12,6,2
2508,OL Zone Steps 508,2,18,9,5
2509,DB Footwork 509,1,8,4,2
2510,Special Teams Lane 510,1,8,3,7
2511,Two-Minute Drill 511,3,18,3,7
2512,Two-Minute Drill 512,1,15,5,2
2513,Coverage Shells 513,1,8,1,2
2514,Ball Security 514,4,10,7,4
2515,Goal Line 515,1,15,5,7
2516,Ball Security 516,4,18,8,3
2517,Pass Rush Moves 517,4,8,4,7
2518,DB Footwork 518,2,18,8,2
2519,Pass Rush Moves 519,2,8,3,6
2520,OL Zone Steps 520,2,8,2,1
2521,DB Footwork 521,1,8,1,5
2522,Pass Rush Moves 522,4,20,10,6
2523,Run Fits 523,4,15,2,4
2524,Ball Security 524,2,18,6,1
2525,OL Zone Steps 525,5,8,3,1
2526,Ball Security 526,1,20,9,6
2527,Special Teams Lane 527,2,15,6,5
2528,Run Fits 528,1,18,5,2
2529,Pass Rush Moves 529,3,12,3,5
2530,Blitz Pickup 530,3,8,2,5
2531,Special Teams Lane 531,4,12,8,2
2532,Goal Line 532,2,18,10,6
2533,Coverage Shells 533,2,15,1,1
2534,OL Zone Steps 534,1,15,7,6
2535,Two-Minute Drill 535,1,20,5,5
2536,OL Zone Steps 536,5,18,4,5
2537,RPO Reads 537,4,12,5,6
2538,Coverage Shells 538,4,10,4,6
2539,Two-Minute Drill 539,5,20,5,5
2540,RPO Reads 540,3,15,1,3
2541,RPO Reads 541,3,8,2,1
2542,OL Zone Steps 542,4,8,5,1
2543,Run Fits 543,4,12,5,4
2544,Goal Line 544,1,12,7,3
2545,Pass Rush Moves 545,5,10,4,4
2546,Two-Minute Drill 546,5,12,4,6
2547,Pass Rush Moves 547,1,10,6,7
2548,Two-Minute Drill 548,3,8,6,3
2549,Special Teams Lane 549,4,12,3,6
2550,Blitz Pickup 550,5,15,4,3
2551,Coverage Shells 551,1,8,5,3
2552,Ball Security 552,2,20,2,6
2553,Ball Security 553,2,10,5,7
2554,Tackling Form 554,2,15,3,3
2555,Special Teams Lane 555,1,20,5,6
2556,Pass Rush Moves 556,4,8,2,7
2557,Special Teams Lane 557,1,10,5,4
2558,Goal Line 558,4,12,7,6
2559,Ball Security 559,5,8,7,4
2560,Red Zone Passing 560,1,8,9,2
2561,Red Zone Passing 561,5,12,9,1
2562,RPO Reads 562,1,18,6,6
2563,OL Zone Steps 563,4,10,7,5
2564,Ball Security 564,2,12,10,6
2565,Two-Minute Drill 565,1,18,2,5
2566,Pass Rush Moves 566,2,8,6,6
2567,Special Teams Lane 567,3,10,4,6
2568,Blitz Pickup 568,4,20,7,2
2569,Special Teams Lane 569,5,20,7,6
2570,Red Zone Passing 570,2,8,6,3
2571,Tackling Form 571,2,18,7,4
2572,Coverage Shells 572,5,18,8,3
2573,Screen Defense 573,2,8,2,6
2574,Special Teams Lane 574,2,15,3,6
2575,Run Fits 575,2,18,9,3
2576,Ball Security 576,1,18,10,2
2577,Blitz Pickup 577,5,18,5,3
2578,Coverage Shells 578,1,15,9,6
2579,Screen Defense 579,5,20,1,4
2580,Coverage Shells 580,2,12,8,6
2581,OL Zone Steps 581,4,10,10,3
2582,Blitz Pickup 582,2,18,9,1
2583,RPO Reads 583,5,10,10,2
2584,Coverage Shells 584,2,18,9,3
2585,Tackling Form 585,1,20,6,3
2586,Pass Rush Moves 586,4,12,6,4
2587,Goal Line 587,3,8,10,2
2588,Blitz Pickup 588,2,20,3,5
2589,Tackling Form 589,1,8,4,5
2590,Pass Rush Moves 590,2,18,2,7
2591,OL Zone Steps 591,4,8,1,7
2592,Pass Rush Moves 592,4,20,10,1
2593,Blitz Pickup 593,1,10,6,2
2594,Tackling Form 594,3,12,1,3
2595,Screen Defense 595,1,12,10,4
2596,Screen Defense 596,3,15,5,4
2597,Goal Line 597,1,20,6,2
2598,Special Teams Lane 598,5,18,4,1
2599,Two-Minute Drill 599,4,15,5,2
2600,OL Zone Steps 600,5,18,5,5
2601,Special Teams Lane 601,4,8,9,6
2602,Blitz Pickup 602,3,15,1,6
2603,Coverage Shells 603,2,15,3,4
2604,Blitz Pickup 604,3,10,9,1
2605,Run Fits 605,4,18,7,7
2606,Screen Defense 606,5,10,9,4
2607,Red Zone Passing 607,3,15,10,3
2608,Two-Minute Drill 608,3,10,8,4
2609,Tackling Form 609,3,20,7,2
2610,Blitz Pickup 610,3,15,9,3
2611,Pass Rush Moves 611,5,20,10,1
2612,Screen Defense 612,3,12,8,2
2613,Blitz Pickup 613,5,8,5,7
2614,Pass Rush Moves 614,3,15,3,3
2615,Two-Minute Drill 615,4,8,10,2
2616,RPO Reads 616,5,20,10,7
2617,Pass Rush Moves 617,3,12,4,7
2618,Pass Rush Moves 618,3,18,5,3
2619,DB Footwork 619,3,12,8,5
2620,OL Zone Steps 620,4,20,1,5
2621,Coverage Shells 621,4,18,4,7
2622,Two-Minute Drill 622,4,12,8,5
2623,RPO Reads 623,1,8,3,2
2624,Pass Rush Moves 624,3,12,1,6
2625,OL Zone Steps 625,3,8,5,2
2626,Goal Line 626,2,10,2,2
2627,Ball Security 627,3,10,6,2
2628,Goal Line 628,1,15,9,6
2629,RPO Reads 629,4,10,8,4
2630,Screen Defense 630,2,10,2,3
2631,Screen Defense 631,2,15,9,7
2632,Goal Line 632,2,18,8,3
2633,Special Teams Lane 633,3,8,3,1
2634,Pass Rush Moves 634,1,12,3,6
2635,Coverage Shells 635,4,10,8,2
2636,RPO Reads 636,1,15,2,4
2637,Ball Security 637,2,20,9,4
2638,Pass Rush Moves 638,5,20,6,3
2639,Goal Line 639,4,10,9,2
2640,Tackling Form 640,2,18,8,4
2641,Ball Security 641,2,8,1,1
2642,Blitz Pickup 642,2,8,7,4
2643,Blitz Pickup 643,1,20,9,2
2644,Red Zone Passing 644,4,10,10,4
2645,Tackling Form 645,5,8,8,7
2646,RPO Reads 646,4,20,8,1
2647,Goal Line 647,2,10,9,3
2648,Pass Rush Moves 648,5,10,4,3
2649,RPO Reads 649,3,12,2,6
2650,OL Zone Steps 650,2,8,7,3
2651,DB Footwork 651,5,12,9,4
2652,Red Zone Passing 652,5,12,7,6
2653,Tackling Form 653,4,10,3,2
2654,Coverage Shells 654,1,12,8,4
2655,Red Zone Passing 655,2,18,3,2
2656,Two-Minute Drill 656,4,8,6,4
2657,Coverage Shells 657,4,18,2,1
2658,Red Zone Passing 658,1,12,1,4
2659,Tackling Form 659,3,18,9,3
2660,OL Zone Steps 660,1,12,2,4
2661,Red Zone Passing 661,3,15,1,3
2662,Screen Defense 662,4,20,10,6
2663,Blitz Pickup 663,3,10,10,2
2664,Goal Line 664,1,8,8,1
2665,Two-Minute Drill 665,1,8,7,1
2666,Coverage Shells 666,2,20,2,5
